time,open,high,low,close,volume
2023-10-10T09:00:00Z,157.00,157.10,156.90,157.05,100
2023-10-10T09:01:00Z,157.05,157.20,157.00,157.15,120
2023-10-10T09:02:00Z,157.15,157.30,157.10,157.25,110
2023-10-10T09:03:00Z,157.25,157.25,157.05,157.10,150
2023-10-10T09:04:00Z,157.10,157.15,156.95,157.00,130
2023-10-10T09:05:00Z,157.00,157.30,156.90,157.25,200
2023-10-10T09:06:00Z,157.25,157.40,157.20,157.35,140
2023-10-10T09:07:00Z,157.35,157.55,157.30,157.50,180
2023-10-10T09:08:00Z,157.50,157.60,157.45,157.55,160
2023-10-10T09:09:00Z,157.55,157.55,157.40,157.45,170
2023-10-10T09:10:00Z,157.45,157.65,157.45,157.60,220
2023-10-10T09:11:00Z,157.60,157.80,157.55,157.75,210
2023-10-10T09:12:00Z,157.75,157.90,157.70,157.85,190
2023-10-10T09:13:00Z,157.85,157.95,157.80,157.90,200
2023-10-10T09:14:00Z,157.90,158.00,157.85,157.95,230
2023-10-10T09:15:00Z,157.95,158.10,157.95,158.05,250
